,x1_1,x2_1,x3_1,x3_2,x3_3,x4_1
d697,1,1,0,1,0,0
d698,1,1,0,1,0,1
d699,1,1,0,1,1,-1
d700,1,1,0,1,1,0
d701,1,1,0,1,1,1
d702,1,1,1,-1,-1,-1
d703,1,1,1,-1,-1,0
d704,1,1,1,-1,-1,1
d705,1,1,1,-1,0,-1
d706,1,1,1,-1,0,0
d707,1,1,1,-1,0,1
d708,1,1,1,-1,1,-1
d709,1,1,1,-1,1,0
d710,1,1,1,-1,1,1
d711,1,1,1,0,-1,-1
d712,1,1,1,0,-1,0
d713,1,1,1,0,-1,1
d714,1,1,1,0,0,-1
d715,1,1,1,0,0,0
d716,1,1,1,0,0,1
d717,1,1,1,0,1,-1
d718,1,1,1,0,1,0
d719,1,1,1,0,1,1
d720,1,1,1,1,-1,-1
d721,1,1,1,1,-1,0
d722,1,1,1,1,-1,1
d723,1,1,1,1,0,-1
d724,1,1,1,1,0,0
d725,1,1,1,1,0,1
d726,1,1,1,1,1,-1
d727,1,1,1,1,1,0
d728,1,1,1,1,1,1
