Point,x,y,Objective,Status
"[24, 1]",24,1,3.6426041999737997,Optimal
"[24, 2]",24,2,3.6426045603008665,Optimal
"[24, 3]",24,3,3.6426046602498974,Optimal
"[24, 4]",24,4,3.6425934832150992,Optimal
"[24, 5]",24,5,3.6426046602486215,Optimal
"[24, 6]",24,6,3.642604660250046,Optimal
"[24, 7]",24,7,3.6425926531518016,Optimal
"[24, 8]",24,8,3.6425955765599554,Optimal
"[24, 9]",24,9,3.6426046602500235,Optimal
"[24, 10]",24,10,3.6426046547191118,Optimal
"[24, 11]",24,11,3.642598257833025,Optimal
"[24, 12]",24,12,3.642604660250046,Optimal
"[24, 13]",24,13,3.642580458535279,Optimal
"[24, 14]",24,14,3.642596074342553,Optimal
"[24, 15]",24,15,3.6425837094116824,Optimal
"[24, 16]",24,16,3.626974428219669,Optimal
"[24, 17]",24,17,3.578698503677921,Optimal
"[24, 18]",24,18,3.4981093901217837,Optimal
"[24, 19]",24,19,3.3923001027651583,Optimal
"[24, 20]",24,20,3.271666641085045,Optimal
"[24, 21]",24,21,3.145487343330829,Optimal
"[24, 22]",24,22,3.0201455353280826,Optimal
"[24, 23]",24,23,2.899225217078797,Optimal
"[24, 24]",24,24,2.78446461617861,Optimal
"[25, 1]",25,1,3.647855896209149,Optimal
"[25, 2]",25,2,3.647855896208993,Optimal
"[25, 3]",25,3,3.6478509495416436,Optimal
"[25, 4]",25,4,3.647855896209163,Optimal
"[25, 5]",25,5,3.647855880456574,Optimal
"[25, 6]",25,6,3.6478438444244636,Optimal
"[25, 7]",25,7,3.6478558962091405,Optimal
"[25, 8]",25,8,3.647855896209141,Optimal
"[25, 9]",25,9,3.6478465351011966,Optimal
"[25, 10]",25,10,3.6478442874069676,Optimal
"[25, 11]",25,11,3.64783358053766,Optimal
"[25, 12]",25,12,3.64785379738376,Optimal
"[25, 13]",25,13,3.6478558962091507,Optimal
"[25, 14]",25,14,3.6478500179271274,Optimal
"[25, 15]",25,15,3.647843311631213,Optimal
"[25, 16]",25,16,3.644903698211244,Optimal
"[25, 17]",25,17,3.6175629984064583,Optimal
"[25, 18]",25,18,3.5594548702641258,Optimal
"[25, 19]",25,19,3.4732022507578444,Optimal
"[25, 20]",25,20,3.366486351477716,Optimal
"[25, 21]",25,21,3.248537610758461,Optimal
"[25, 22]",25,22,3.1270027684772255,Optimal
"[25, 23]",25,23,3.006990010539753,Optimal
"[25, 24]",25,24,2.8913403929959447,Optimal
"[25, 25]",25,25,2.7814752808005845,Optimal
