Method,Approach,Solver,Objective,Time,Status,User_time,NT
D-SDA_MIP_bigm,k=2,baron,3.130198086,114.15,optimal,108.1420004,10
D-SDA_MIP_hull,k=2,baron,3.130198133,803.18,optimal,794.8080003,10
D-SDA_MIP_bigm,k=Infinity,knitro,2.829394063,16.92,optimal,1.857000589,15
MINLP,bigm,sbb,2.79940642,900.908,optimal,NA,20
MINLP,hull,sbb,2.82939405,148.8670002,optimal,NA,15
MINLP,bigm,scip,2.829393711,901.3840002,optimal,NA,15
D-SDA_MIP_hull,k=2,knitro,3.130198133,18.57,optimal,0.313001219,25
D-SDA_MIP_hull,k=Infinity,knitro,3.130198133,21.45,optimal,1.969000837,15
D-SDA_MIP_bigm,k=Infinity,baron,2.889535335,901.01,maxTimeLimit,880.5429997,20
D-SDA_MIP_hull,k=Infinity,baron,2.966046793,901.01,maxTimeLimit,878.8360002,20
D-SDA_MIP_bigm,k=2,baron,3.130198133,224.46,optimal,210.8060005,20
D-SDA_MIP_hull,k=2,baron,3.130198133,901.97,maxTimeLimit,884.314,20
MINLP,bigm,baron,2.781482447,963.8149995,optimal,NA,25
MINLP,hull,baron,2.781477831,917.2509994,optimal,NA,25
MINLP,bigm,dicopt,3.607680033,0.323999953,optimal,NA,25
MINLP,hull,dicopt,3.561958633,4.651000095,optimal,NA,25
MINLP,bigm,sbb,2.829394056,7.902999781,optimal,NA,25
MINLP,hull,sbb,3.130198133,6.951999734,optimal,NA,25
D-SDA_MIP_hull,k=Infinity,knitro,3.130198133,31.08,optimal,1.858999045,15
D-SDA_MIP_bigm,k=Infinity,knitro,2.799406425,32.1,optimal,2.165000327,20
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,34.17,optimal,4.911999987,20
MINLP,hull,knitro,2.799406425,36.81300001,optimal,NA,20
D-SDA_MIP_bigm,k=Infinity,knitro,2.781482593,46.15,optimal,1.339999773,25
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,50.59,optimal,4.805000592,20
GDPopt,LOA,knitro,9.894736832,54.3237566,optimal,NA,10
GDPopt,GLOA,knitro,9.894736832,55.3548488,optimal,NA,10
D-SDA_MIP_hull,k=Infinity,knitro,2.781482593,74.69,optimal,5.527999462,25
D-SDA_MIP_hull,k=Infinity,knitro,2.781482593,81.45,optimal,5.680000875,25
MINLP,bigm,knitro,2.829394052,84.24000023,optimal,NA,15
MINLP,hull,knitro,2.781482593,87.39599988,optimal,NA,25
MINLP,bigm,knitro,2.799406413,88.66999971,optimal,NA,20
GDPopt,LBB,knitro,3.062014375,102.8491463,optimal,NA,5
GDPopt,GLOA,knitro,9.894736891,157.0954047,optimal,NA,15
GDPopt,LOA,knitro,9.894736891,157.3634037,optimal,NA,15
GDPopt,LOA,knitro,3.548373006,323.9458045,optimal,NA,20
GDPopt,GLOA,knitro,3.548373006,385.9742697,optimal,NA,20
GDPopt,LOA,knitro,9.894736989,833.7090812,optimal,NA,25
GDPopt,GLOA,knitro,9.894736989,837.5537081,optimal,NA,25
GDPopt,LBB,knitro,9.894736832,900.7777406,maxTimeLimit,NA,10
GDPopt,LBB,knitro,9.894736842,900.6060769,maxTimeLimit,NA,15
