d144,0,1,0,-1,-1
d145,0,1,0,-1,0
d146,0,1,0,-1,1
d147,0,1,0,0,-1
d148,0,1,0,0,0
d149,0,1,0,0,1
d150,0,1,0,1,-1
d151,0,1,0,1,0
d152,0,1,0,1,1
d153,0,1,1,-1,-1
d154,0,1,1,-1,0
d155,0,1,1,-1,1
d156,0,1,1,0,-1
d157,0,1,1,0,0
d158,0,1,1,0,1
d159,0,1,1,1,-1
d160,0,1,1,1,0
d161,0,1,1,1,1
d162,1,-1,-1,-1,-1
d163,1,-1,-1,-1,0
d164,1,-1,-1,-1,1
d165,1,-1,-1,0,-1
d166,1,-1,-1,0,0
d167,1,-1,-1,0,1
d168,1,-1,-1,1,-1
d169,1,-1,-1,1,0
d170,1,-1,-1,1,1
d171,1,-1,0,-1,-1
d172,1,-1,0,-1,0
d173,1,-1,0,-1,1
d174,1,-1,0,0,-1
d175,1,-1,0,0,0
d176,1,-1,0,0,1
d177,1,-1,0,1,-1
d178,1,-1,0,1,0
d179,1,-1,0,1,1
d180,1,-1,1,-1,-1
d181,1,-1,1,-1,0
d182,1,-1,1,-1,1
d183,1,-1,1,0,-1
d184,1,-1,1,0,0
d185,1,-1,1,0,1
d186,1,-1,1,1,-1
d187,1,-1,1,1,0
d188,1,-1,1,1,1
d189,1,0,-1,-1,-1
d190,1,0,-1,-1,0
d191,1,0,-1,-1,1
d192,1,0,-1,0,-1
d193,1,0,-1,0,0
d194,1,0,-1,0,1
d195,1,0,-1,1,-1
d196,1,0,-1,1,0
d197,1,0,-1,1,1
d198,1,0,0,-1,-1
d199,1,0,0,-1,0
d200,1,0,0,-1,1
d201,1,0,0,0,-1
d202,1,0,0,0,0
d203,1,0,0,0,1
d204,1,0,0,1,-1
d205,1,0,0,1,0
d206,1,0,0,1,1
d207,1,0,1,-1,-1
d208,1,0,1,-1,0
d209,1,0,1,-1,1
d210,1,0,1,0,-1
d211,1,0,1,0,0
d212,1,0,1,0,1
d213,1,0,1,1,-1
d214,1,0,1,1,0
d215,1,0,1,1,1
d216,1,1,-1,-1,-1
d217,1,1,-1,-1,0
d218,1,1,-1,-1,1
d219,1,1,-1,0,-1
d220,1,1,-1,0,0
d221,1,1,-1,0,1
d222,1,1,-1,1,-1
d223,1,1,-1,1,0
d224,1,1,-1,1,1
d225,1,1,0,-1,-1
d226,1,1,0,-1,0
d227,1,1,0,-1,1
d228,1,1,0,0,-1
d229,1,1,0,0,0
d230,1,1,0,0,1
d231,1,1,0,1,-1
d232,1,1,0,1,0
d233,1,1,0,1,1
d234,1,1,1,-1,-1
d235,1,1,1,-1,0
d236,1,1,1,-1,1
d237,1,1,1,0,-1
d238,1,1,1,0,0
d239,1,1,1,0,1
d240,1,1,1,1,-1
d241,1,1,1,1,0
d242,1,1,1,1,1
